isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Polarized Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB3025 Aviator Total Black,False,Black/Black,213.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392238931__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392238931__002.png?impolicy=SGH_bgtransparent&width=640,True,12,False,OO9102 Holbrook™,True,Black/Blue,212.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__002.png?impolicy=SGH_bgtransparent&width=640,True,5,False,RB2198 Bill,False,Blue/Blue,248.00,
False,Prizm Ruby,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392583116__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392583116__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,OO9098 Re:SubZero,False,Black/Orange,244.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597046312__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597046312__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,BE4291,False,Black/Grey,281.00,
False,Brown Mirror Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597157391__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada Linea Rossa,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597157391__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,PS 51VS,False,Grey/Brown,371.00,185.50
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597049818__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597049818__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,VE4369,False,Black/Grey,317.00,221.90
False,Prizm Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392489371__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392489371__002.png?impolicy=SGH_bgtransparent&width=640,False,8,False,OO9463 Sutro Lite,False,Black/Black,184.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597699075__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597699075__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,VE4406,False,Black/Orange,290.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597131636__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597131636__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,DG6125,False,Black/Grey,317.00,158.50
False,Prizm Jade Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392576200__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392576200__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,OO9014 Gascan® High Resolution Collection,True,Black/Green,190.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597657952__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597657952__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,DG4403,False,Black/Grey,317.00,
False,Prizm 24K Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392568762__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392568762__002.png?impolicy=SGH_bgtransparent&width=640,True,11,False,OO9208 Radar® EV Path®,False,Black/Gold,261.00,
False,Light Grey Mirror Silver 80,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597207812__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597207812__002.png?impolicy=SGH_bgtransparent&width=640,False,7,False,VE4361 Biggie,False,Grey/Grey,345.00,
False,Dark Grey Mirror Blue/Red,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597152730__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada Linea Rossa,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597152730__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,PS 52VS,False,Grey/Grey,327.00,163.50
False,Pink Mirror Red,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597463270__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597463270__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,VE2233,False,Red/Pink,427.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285128566__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285128566__002.png?impolicy=SGH_bgtransparent&width=640,True,10,False,OO9014 Gascan®,False,Black/Black,180.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653653__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289653653__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3016 CLUBMASTER CLASSIC,False,Black/Green,163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289304449__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289304449__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3016 Clubmaster Classic,False,Black/Green,163.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597440240__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597440240__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,PR 19WS,False,Black/Grey,433.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597537568__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597537568__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,DG4388,False,Black/Grey,317.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672210798__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672210798__002.png?impolicy=SGH_bgtransparent&width=640,True,6,False,RB2132 New Wayfarer Classic,False,Black/Green,201.00,
False,Dark Blue Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__002.png?impolicy=SGH_bgtransparent&width=640,True,11,False,RB2132 NEW WAYFARER CLASSIC,False,Grey/Blue,201.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672135817__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672135817__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,VE2150Q,False,Gold/Grey,331.00,
False,Polar Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597415934__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597415934__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,DG6147,False,Black/Grey,312.00,156.00
False,Prizm Sapphire Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392575517__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392575517__002.png?impolicy=SGH_bgtransparent&width=640,True,6,False,OO9129 Cables,False,Transparent/Blue,190.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597573498__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597573498__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,VE2238,False,Tortoise/Orange,290.00,203.00
False,Prizm Road,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392562692__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392562692__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,OO9208 Radar® EV Path® Heritage Colors Collection,False,Blue/Red,211.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672469950__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672469950__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,VE4307,False,Black/Grey,276.00,193.20
False,Light Grey Mirror Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597224772__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597224772__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,VE4391,False,Grey/Silver,345.00,
False,Polar Dark Grey Mirror Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640428__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597640428__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,VE2242,False,Grey/Grey,395.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047515_shad_qt.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047515_shad_fr.png?impolicy=SGH_bgtransparent&width=640,False,1,False,GG0009S,False,Black/Green,405.00,202.50
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__002.png?impolicy=SGH_bgtransparent&width=640,False,12,False,RB3548N HEXAGONAL FLAT LENSES,False,Gold/Blue,178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,RB3548N Hexagonal Flat Lenses,False,Gold/Green,163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289115687__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289115687__002.png?impolicy=SGH_bgtransparent&width=640,True,9,False,RB3025 AVIATOR CLASSIC,False,Black/Green,213.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3025 Aviator Classic,False,Gold/Green,163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346944__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346944__002.png?impolicy=SGH_bgtransparent&width=640,True,6,False,RB2140 ORIGINAL WAYFARER CLASSIC,False,Tortoise/Green,213.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126591__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289126591__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,RB2140 Original Wayfarer Classic,False,Black/Green,213.00,
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597489478__002.png?impolicy=SGH_bgtransparent&width=640,False,11,False,RW4002 RAY-BAN STORIES | WAYFARER,False,Black/Green,299.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289527879__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289527879__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB4165 JUSTIN CLASSIC,False,Brown/Green,155.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672495683__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672495683__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,RB4165 Justin Classic,False,Tortoise/Brown,175.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392336491__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392336491__002.png?impolicy=SGH_bgtransparent&width=640,True,14,False,OO9417 Holbrook™ XL,False,Black/Black,212.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392169464__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392169464__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,OO9316 Thinlink,False,Black/Grey,152.00,76.00
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392404756__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392404756__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,OO9406 Sutro,False,Black/Black,173.00,
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374190__002.png?impolicy=SGH_bgtransparent&width=640,False,6,False,RB3025 Aviator Gradient,False,Gold/Brown,188.00,
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289374183__002.png?impolicy=SGH_bgtransparent&width=640,False,9,False,RB3025 AVIATOR GRADIENT,False,Gold/Brown,188.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641654__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641654__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3625 NEW AVIATOR,False,Gold/Green,163.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597685191__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597685191__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB3625 New Aviator,False,Grey/Blue,248.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517065__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597517065__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,PR 06YS,False,Tortoise/Brown,433.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047560__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652047560__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,GG0010S,False,Black/Grey,405.00,
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392279958__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392279958__002.png?impolicy=SGH_bgtransparent&width=640,True,18,False,OO9188 Flak® 2.0 XL,False,Black/Black,234.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641845__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597641845__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,RB3636 NEW CARAVAN,False,Gold/Blue,178.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626583__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626583__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB4376,False,Black/Grey,155.00,
False,Blue/Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445177__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445177__002.png?impolicy=SGH_bgtransparent&width=640,False,7,False,RB3565 JACK,False,Grey/Blue,178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445184__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597445184__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,RB3565 Jack,False,Gold/Green,163.00,
False,Prizm Sapphire Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392498441__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392498441__002.png?impolicy=SGH_bgtransparent&width=640,True,12,False,OO9448 Sylas,False,Black/Blue,190.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672000511__002.png?impolicy=SGH_bgtransparent&width=640,False,10,False,RB3025 AVIATOR FLASH LENSES,False,Gold/Orange,188.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672365146__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672365146__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,RB4147 BOYFRIEND,False,Black/Grey,151.00,
False,Dark Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597364393__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597364393__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,RB4147 Boyfriend,False,Black/Blue,151.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867060__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672867060__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3716 Clubmaster Metal,False,Black/Blue,174.00,
False,Blue Bi-Mirror Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597043908__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597043908__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3716 CLUBMASTER METAL,False,Blue/Blue,199.00,159.20
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672923094__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672923094__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,VE2199,False,Black/Silver,317.00,158.50
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386317__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652386317__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,GG0381SN,False,Black/Black,450.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289097464__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289097464__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3267,False,Gold/Green,152.00,76.00
False,Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672737646__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672737646__002.png?impolicy=SGH_bgtransparent&width=640,False,8,False,RB3647N ROUND DOUBLE BRIDGE,False,Gold/Grey,199.00,
False,Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672974850__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,RB3647N Round Double Bridge,False,Gold/Brown,189.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597073004__002.png?impolicy=SGH_bgtransparent&width=640,False,9,False,RB4306,False,Tortoise/Brown,151.00,
False,Purple,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392097750__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392097750__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,OO9272 Catalyst® (Low Bridge Fit),False,Transparent/Violet,163.00,81.50
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289669517__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289669517__002.png?impolicy=SGH_bgtransparent&width=640,True,2,False,RB3478,False,Grey/Blue,213.00,106.50
False,Crystal Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289086628__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289086628__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,RB3254,False,Black/Green,152.00,76.00
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289367130__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289367130__002.png?impolicy=SGH_bgtransparent&width=640,True,1,False,RB4115,False,Black/Green,153.00,76.50
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672644951__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672644951__002.png?impolicy=SGH_bgtransparent&width=640,True,6,False,RB4264 CHROMANCE,False,Black/Blue,239.00,
False,Grey Gradient Polar,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626705__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597626705__002.png?impolicy=SGH_bgtransparent&width=640,True,5,False,RB2298 HAWKEYE,False,Black/Grey,224.00,
False,Prizm Black Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392455017__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392455017__002.png?impolicy=SGH_bgtransparent&width=640,True,8,False,OO9449 Gibston,False,Black/Black,190.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285870304__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285870304__002.png?impolicy=SGH_bgtransparent&width=640,False,8,False,OO9239 Crankshaft™,False,Transparent/Blue,152.00,106.40
False,Prizm Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392557575__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392557575__002.png?impolicy=SGH_bgtransparent&width=640,False,6,False,OO9471 Encoder,False,Black/Black,255.00,
