isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346630__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289346630__002.png?impolicy=SGH_bgtransparent&width=640,True,9,False,RB3025 AVIATOR CLASSIC,False,Gold/Brown,213.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB3025 Aviator Classic,False,Gold/Green,163.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625685__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625685__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,PR 15YS,False,Tortoise/Brown,475.00,
False,Polar Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597708296__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597708296__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,VE4437U,False,Black/Grey,340.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597646642__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597646642__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,DG4405,False,Black/Grey,317.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597435581__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597435581__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,PR 17WS,False,Tortoise/Brown,433.00,
False,Pink,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597726849__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597726849__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,BE4372U MARIANNE,False,Tortoise/Pink,335.00,
False,Brown Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597727952__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597727952__002.png?impolicy=SGH_bgtransparent&width=640,False,3,False,BE4370U MARGOT,False,Brown/Brown,335.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597627498__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597627498__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,PR 23YS,False,Tortoise/Brown,475.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652048123__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652048123__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,GG0022S,False,Black/Grey,320.00,224.00
False,Grey Gradient Polar,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662215__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662215__002.png?impolicy=SGH_bgtransparent&width=640,True,11,False,RB2132 NEW WAYFARER CLASSIC,False,Violet/Grey,201.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289421795__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289421795__002.png?impolicy=SGH_bgtransparent&width=640,False,6,False,RB2132 New Wayfarer Classic,False,Black/Green,151.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672947403__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672947403__002.png?impolicy=SGH_bgtransparent&width=640,False,7,False,VE4361 Biggie,False,Tortoise/Brown,345.00,
False,Grey Orange Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125383431__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Michael Kors,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125383431__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,MK2170U KARLIE,False,Black/Grey,140.00,
