isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Polarized Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597328111__002.png?impolicy=SGH_bgtransparent&width=640,True,1 Color,False,RB3025 Aviator Total Black,False,Black/Black,RB3025 Aviator Total Black,$213.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392238931__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392238931__002.png?impolicy=SGH_bgtransparent&width=640,True,12 colors,False,OO9102 Holbrook™,True,Black/Blue,OO9102 Holbrook™,$212.00,
False,Clear Gradient Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597684828__002.png?impolicy=SGH_bgtransparent&width=640,True,1 Color,False,RB2198 BILL,False,Blue/Blue,RB2198 BILL,$248.00,
False,Prizm Ruby,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392583116__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392583116__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,OO9098 Re:SubZero,False,Black/Orange,OO9098 Re:SubZero,$244.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597046312__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597046312__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,BE4291,False,Black/Grey,BE4291,$281.00,
False,Dark Grey Mirror Blue/Red,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597140324__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada Linea Rossa,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597140324__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,PS 51VS,False,Black/Grey,PS 51VS,$341.00,$170.50
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597049818__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597049818__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,VE4369,False,Black/Grey,VE4369,$317.00,$221.90
False,Prizm Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392489371__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392489371__002.png?impolicy=SGH_bgtransparent&width=640,False,8 colors,False,OO9463 Sutro Lite,False,Black/Black,OO9463 Sutro Lite,$184.00,
False,Orange,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597699075__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597699075__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,VE4406,False,Black/Orange,VE4406,$290.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597496476__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597496476__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,DG6125,False,Black/Grey,DG6125,$347.00,
