isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Green Classic G-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597139663__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597139663__002.png?impolicy=SGH_bgtransparent&width=640,False,9 colors,False,RB3025 AVIATOR CLASSIC,False,Green/Green,RB3025 AVIATOR CLASSIC,$163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289004783__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,RB3025 Aviator Classic,False,Gold/Green,RB3025 Aviator Classic,$163.00,
False,Violet Mirror Internal Silver,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625678__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597625678__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,PR 15YS,False,Tortoise/Violet,PR 15YS,$475.00,
False,Light Yellow Gradient Ochre,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597708319__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597708319__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,VE4437U,False,Gold/Yellow,VE4437U,$290.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597646642__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597646642__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,DG4405,False,Black/Grey,DG4405,$317.00,
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597435581__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597435581__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,PR 17WS,False,Tortoise/Brown,PR 17WS,$433.00,
False,Brown Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597731560__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597731560__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,BE4370U MARGOT,False,Beige/Brown,BE4370U MARGOT,$335.00,
False,Dark Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597627498__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597627498__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,PR 23YS,False,Tortoise/Brown,PR 23YS,$475.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652048123__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652048123__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,GG0022S,False,Black/Grey,GG0022S,$320.00,$256.00
False,Dark Blue Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__002.png?impolicy=SGH_bgtransparent&width=640,True,11 colors,False,RB2132 NEW WAYFARER CLASSIC,False,Grey/Blue,RB2132 NEW WAYFARER CLASSIC,$201.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289421795__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289421795__002.png?impolicy=SGH_bgtransparent&width=640,False,6 colors,False,RB2132 New Wayfarer Classic,False,Black/Green,RB2132 New Wayfarer Classic,$151.00,
False,Grey Orange Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125383431__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Michael Kors,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125383431__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,MK2170U KARLIE,False,Black/Grey,MK2170U KARLIE,$140.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597094504__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597094504__002.png?impolicy=SGH_bgtransparent&width=640,False,7 colors,False,VE4361 Biggie,False,Pink/Grey,VE4361 Biggie,$345.00,$276.00
False,Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672768671__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672768671__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,BE4251Q,False,Brown/Brown,BE4251Q,$281.00,$140.50
False,Violet Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597726900__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597726900__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,BE4371 HELENA,False,Red/Violet,BE4371 HELENA,$308.00,
False,Gold,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125941938__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Michael Kors,https://assets.sunglasshut.com/is/image/LuxotticaRetail/725125941938__002.png?impolicy=SGH_bgtransparent&width=640,False,4 colors,False,MK5004 CHELSEA,False,Copper/Gold,MK5004 CHELSEA,$99.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597119689__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597119689__002.png?impolicy=SGH_bgtransparent&width=640,False,1 Color,False,VE4377,False,Black/Grey,VE4377,$276.00,$193.20
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/679420489230__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/679420489230__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,PR 01OS CONCEPTUAL,True,Black/Grey,PR 01OS CONCEPTUAL,$329.00,
